hostname,city,region,country,loc,org,postal,timezone,anycast
23-94-213-6-host.colocrossing.com,Los Angeles,California,US,"34.0522,-118.2437",AS36352 HostPapa,90009,America/Los_Angeles,
23-116-185-114.lightspeed.cicril.sbcglobal.net,Cicero,Illinois,US,"41.8456,-87.7539","AS7018 AT&T Enterprises, LLC",60804,America/Chicago,
,Houston,Texas,US,"29.7633,-95.3633","AS7922 Comcast Cable Communications, LLC",77002,America/Chicago,
45-79-106-170.ip.linodeusercontent.com,Fremont,California,US,"37.5483,-121.9886",AS63949 Akamai Connected Cloud,94536,America/Los_Angeles,
,New York City,New York,US,"40.7143,-74.0060",AS46562 Performive LLC,10001,America/New_York,
,Redmond,Washington,US,"47.6740,-122.1215",AS54858 Wave Broadband,98052,America/Los_Angeles,
census6.shodan.io,San Diego,California,US,"32.7157,-117.1647","AS10439 CariNet, Inc.",92101,America/Los_Angeles,
c-69-249-19-217.hsd1.de.comcast.net,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS7922 Comcast Cable Communications, LLC",19099,America/New_York,
c-69-253-19-219.hsd1.pa.comcast.net,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS7922 Comcast Cable Communications, LLC",19099,America/New_York,
,San Diego,California,US,"32.7157,-117.1647","AS10439 CariNet, Inc.",92101,America/Los_Angeles,
,San Diego,California,US,"32.7157,-117.1647","AS10439 CariNet, Inc.",92101,America/Los_Angeles,
refrigerator.census.shodan.io,San Diego,California,US,"32.7157,-117.1647","AS10439 CariNet, Inc.",92101,America/Los_Angeles,
pirate.census.shodan.io,San Diego,California,US,"32.7157,-117.1647","AS10439 CariNet, Inc.",92101,America/Los_Angeles,
inspire.census.shodan.io,San Diego,California,US,"32.7157,-117.1647","AS10439 CariNet, Inc.",92101,America/Los_Angeles,
ninja.census.shodan.io,San Diego,California,US,"32.7157,-117.1647","AS10439 CariNet, Inc.",92101,America/Los_Angeles,
census9.shodan.io,San Diego,California,US,"32.7157,-117.1647","AS10439 CariNet, Inc.",92101,America/Los_Angeles,
107-174-127-134-host.colocrossing.com,San Jose,California,US,"37.3394,-121.8950",AS36352 HostPapa,95025,America/Los_Angeles,
166-70-202-88.xmission.com,Salt Lake City,Utah,US,"40.6681,-111.9083","AS6315 XMission, L.C.",84150,America/Denver,
mail.villageliving.org,Richfield,Ohio,US,"41.2398,-81.6382",AS19009 OneCleveland,44286,America/New_York,
scan-21b.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-13o.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-14n.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-13n.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-15m.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
