city,region,country,loc,org,postal,timezone,hostname
Tseung Kwan O,Sai Kung,HK,"22.3279,114.2499",AS3223 Voxility LLP,999077,Asia/Hong_Kong,
Bangkok,Bangkok,TH,"13.7540,100.5014",AS131447 POPIDC powered by CSLoxinfo,10200,Asia/Bangkok,103-7-59-135.ptr.pop-idc.com
Tomsk,Tomsk Oblast,RU,"56.5003,84.9820",AS56981 JSC ER-Telecom Holding,634000,Asia/Tomsk,static-user-109-124-47-175.tomtelnet.ru
Sumqayıt,Sumqayit,AZ,"40.5897,49.6686",AS50274 Alfanet LLC,AZ 5000,Asia/Baku,host-242-8-127-109.alfanet.az
Rtishchevo,Saratov Oblast,RU,"52.2604,43.7874",AS50174 Intexcom OOO,412030,Europe/Saratov,
Donetsk,Donetsk,UA,"48.0230,37.8022",AS20590 Donbass Electronic Communications Ltd.,86060,Europe/Kyiv,vrozetke.com
Leeds,England,GB,"53.7965,-1.5478",AS20738 Heart Internet limited,LS1,Europe/London,
Riga,Riga,LV,"56.9460,24.1059",AS24651 JSC BALTICOM,LV-1001,Europe/Riga,balticom-73-106-6.balticom.lv
Petaling Jaya,Selangor,MY,"3.1073,101.6067",AS45839 Shinjiru Technology Sdn Bhd,46547,Asia/Kuala_Lumpur,prawn79.ipchina163.com
Shanghai,Shanghai,CN,"31.2222,121.4581",,200000,Asia/Shanghai,
Shanghai,Shanghai,CN,"31.2222,121.4581",,200000,Asia/Shanghai,
West Lafayette,Indiana,US,"40.4259,-86.9081",AS17 Purdue University,47907,America/Indiana/Indianapolis,
Hsinchu,Taiwan,TW,"24.8036,120.9686","AS9916 National Chiao Tung University,",,Asia/Taipei,labview.cs.nctu.edu.tw
Saint Petersburg,St.-Petersburg,RU,"59.9386,30.3141",AS35278 SPRINTHOST.RU LLC,195213,Europe/Moscow,
Catania,Sicily,IT,"37.4922,15.0704",AS137 Consortium GARR,95100,Europe/Rome,gcafiso-ds.economia.unict.it
Montréal,Quebec,CA,"45.5088,-73.5878","AS16509 Amazon.com, Inc.",H3H,America/Toronto,
Jakarta,Jakarta,ID,"-6.2146,106.8451","AS16509 Amazon.com, Inc.",12850,Asia/Jakarta,ec2-16-78-90-13.ap-southeast-3.compute.amazonaws.com
Armonk,New York,US,"41.1265,-73.7140",,10504,America/New_York,4f.d2.c0ad.ip4.static.sl-reverse.com
Armonk,New York,US,"41.1265,-73.7140",,10504,America/New_York,68.cc.c1ad.ip4.static.sl-reverse.com
Detroit,Michigan,US,"42.3314,-83.0457","AS22878 ACENET, INC.",48226,America/Detroit,securenet-server.net
Detroit,Michigan,US,"42.3314,-83.0457","AS36444 Liquid Web, L.L.C",48226,America/Detroit,
Dallas,Texas,US,"32.9322,-96.8353",,75244,America/Chicago,94.d1.24ae.ip4.static.sl-reverse.com
Saint Petersburg,St.-Petersburg,RU,"59.9386,30.3141",AS51570 JSC ER-Telecom Holding,195213,Europe/Moscow,176x215x68x57.dynamic.rostov.ertelecom.ru
Krasnoyarsk,Krasnoyarsk Krai,RU,"56.0267,92.9077",AS50544 JSC ER-Telecom Holding,660004,Asia/Krasnoyarsk,dynamicip-176-215-86-120.pppoe.yola.ertelecom.ru
Falkenstein,Saxony,DE,"50.4779,12.3713",AS24940 Hetzner Online GmbH,08520,Europe/Berlin,static.171.17.9.176.clients.your-server.de
Västerås,Västmanland,SE,"59.6162,16.5528",AS57858 Angelnet Limited,720 01,Europe/Stockholm,
Biysk,Altai Krai,RU,"52.5364,85.2072",AS41794 Sibirskie Seti Ltd.,659300,Asia/Barnaul,67.85.248.178.sta.211.ru
